Sl.No,Skill set,google_palm_response,google_palm_response_cleaned,Experience,google_palm_response_experience
29,HTML• CSS • BootStrapC#• C • Java • JavaScriptJQuery• Rest API •SQLLIBRARIES/FRAMEWORKSReact • Node.js • Express.js •Asp.Net • Jquery • ReduxTOOLS/PLATFORMSGit • VS code • Atom • NPMPostman • MongoDBMISCELLANEOUSShell • LaTeX • Tableau • MicrosoftOffice • Firebase,"```python
skills = [
    ""HTML"",
    ""CSS"",
    ""Bootstrap"",
    ""C#"",
    ""C"",
    ""Java"",
    ""JavaScript"",
    ""jQuery"",
    ""Rest API"",
    ""SQL"",
    ""React"",
    ""Node.js"",
    ""Express.js"",
    ""Asp.Net"",
    ""Jquery"",
    ""Redux"",
    ""Git"",
    ""VS code"",
    ""Atom"",
    ""NPM"",
    ""Postman"",
    ""MongoDB"",
    ""Shell"",
    ""LaTeX"",
    ""Tableau"",
    ""Microsoft Office"",
    ""Firebase"",
]
```","['html', 'css', 'bootstrap', 'c#', 'c', 'java', 'javascript', 'jquery', 'rest api', 'sql', 'react', 'node.js', 'express.js', 'asp.net', 'jquery', 'redux', 'git', 'vs code', 'atom', 'npm', 'postman', 'mongodb', 'shell', 'latex', 'tableau', 'microsoft office', 'firebase']",1.7yrs,1.7
30,"HTML5,CSS3,Bootstrap,Javascript,Node js,React js,Mongo DB,C,Core Java,ECMA Script,Data Structure","```python
skills = [
    ""HTML5"",
    ""CSS3"",
    ""Bootstrap"",
    ""Javascript"",
    ""Node.js"",
    ""React.js"",
    ""MongoDB"",
    ""C"",
    ""Core Java"",
    ""ECMAScript"",
    ""Data Structures"",
]
```","['html5', 'css3', 'bootstrap', 'javascript', 'node.js', 'react.js', 'mongodb', 'c', 'core java', 'ecmascript', 'data structures']",,0
31,"BACKEND :NODEJS ( EXPRESS JS )FRONTEND :HTML, CSS, JS, REACT JS,NEXT JSDATABASE :MongoDB ,MYSQLVERSION CONTROL : GITORM :PRISMA ,SEQUELIZEMONGOOSECODE EDITOR : VSCODEPROTOTYPE : FIGMA","```python
backend_skills = [""nodejs"", ""expressjs""]
frontend_skills = [""html"", ""css"", ""js"", ""reactjs"", ""nextjs""]
database_skills = [""mongodb"", ""mysql""]
version_control_skills = [""git""]
orm_skills = [""prisma"", ""sequelize"", ""mongoose""]
code_editor_skills = [""vscode""]
prototype_skills = [""figma""]

skills = [backend_skills, frontend_skills, database_skills, version_control_skills, orm_skills, code_editor_skills, prototype_skills]
```","['nodejs', 'expressjs']",2yrs in Full Stack,2.0
32,"html,Css,Javascript,Nodejs,Mysql,Mongodb,Mongoose,Reactjs,Expressjs","```python
['html', 'css', 'javascript', 'nodejs', 'mysql', 'mongodb', 'mongoose', 'reactjs', 'expressjs']
```","['html', 'css', 'javascript', 'nodejs', 'mysql', 'mongodb', 'mongoose', 'reactjs', 'expressjs']",,0
33,"HTML, CSS, JavaScript, React JS, Bootstrap, ReactNative,NativeFULL STACK:MERN (MongoDB, Express JS, React JS, Node JS)","```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""React JS"",
    ""Bootstrap"",
    ""ReactNative"",
    ""Native"",
    ""MongoDB"",
    ""Express JS"",
    ""React JS"",
    ""Node JS"",
]
```","['html', 'css', 'javascript', 'react js', 'bootstrap', 'reactnative', 'native', 'mongodb', 'express js', 'react js', 'node js']",Intern for 6months Currently working.,0.5
34,JAVA• JAVASCRIPT• REACT JS• MONGODB• HTML5• CSS3• SQL,"```python
skills = [
    ""Java"",
    ""JavaScript"",
    ""React JS"",
    ""MongoDB"",
    ""HTML5"",
    ""CSS3"",
    ""SQL"",
]
```","['java', 'javascript', 'react js', 'mongodb', 'html5', 'css3', 'sql']",Currently learning skills,0.0
35,"JavaScript,Express-JSNode-JS,React-JS,Redux,MongoDB,MySQL,HTML,CSS/Sass,Postgresql,Handlebars ,View-engine,Material, UIGitAWS,Nginx,Figma,Firebase,JWT,Rest API,Postman.","```python
skills = [
    ""JavaScript"",
    ""Express.JS"",
    ""Node.JS"",
    ""React.JS"",
    ""Redux"",
    ""MongoDB"",
    ""MySQL"",
    ""HTML"",
    ""CSS/Sass"",
    ""PostgreSQL"",
    ""Handlebars"",
    ""View engine"",
    ""Material UI"",
    ""Git"",
    ""AWS"",
    ""Nginx"",
    ""Figma"",
    ""Firebase"",
    ""JWT"",
    ""REST API"",
    ""Postman"",
]
```","['javascript', 'express.js', 'node.js', 'react.js', 'redux', 'mongodb', 'mysql', 'html', 'css/sass', 'postgresql', 'handlebars', 'view engine', 'material ui', 'git', 'aws', 'nginx', 'figma', 'firebase', 'jwt', 'rest api', 'postman']",Intern-1yrs,1.0
36,• MongoDB • Express • React • Node • Redux • Mysql • Git • Figma,"```python
skills = [""MongoDB"", ""Express"", ""React"", ""Node"", ""Redux"", ""Mysql"", ""Git"", ""Figma""]
```","['mongodb', 'express', 'react', 'node', 'redux', 'mysql', 'git', 'figma']","Fresher,Currently Working as Intern-8 Months",0.5
37,"C, C++,Html,Css,Bootstrap,Tailwind,Javascript,Reactjs,Nodejs,Mongodb(Basics),Sql(Basics)Tools :Virtual Studio Code(Web)","```python
skills = [""C"", ""C++"", ""HTML"", ""CSS"", ""Bootstrap"", ""Tailwind"", ""JavaScript"", ""ReactJS"", ""NodeJS"", ""MongoDB (basics)"", ""SQL (basics)""]
```","['c', 'c++', 'html', 'css', 'bootstrap', 'tailwind', 'javascript', 'reactjs', 'nodejs', 'mongodb (basics)', 'sql (basics)']","Fresher,Currently Working as Intern-6 Months",0.5
38," Android Development (Flutter) Web Development Stacks ( MEAN and MERN) Database Technology ( MySQL, MongoDB) JavaScript & JS Frameworks ( Angular, React) Basic UI/UX Design ( Figma ) Back End Codes ( Node.JS)","```python
skills = [
    ""Android Development (Flutter)"",
    ""Web Development Stacks (MEAN and MERN)"",
    ""Database Technology (MySQL, MongoDB)"",
    ""JavaScript & JS Frameworks (Angular, React)"",
    ""Basic UI/UX Design (Figma)"",
    ""Back End Codes (Node.JS)""
]
```","['android development (flutter)', 'web development stacks (mean and mern)', 'database technology (mysql', 'mongodb)', 'javascript', 'js frameworks (angular', 'react)', 'basic ui/ux design (figma)', 'back end codes (node.js)']","3yrs,1.5yrs on MERN",4.5
39,"Front End:HTML,CSS,Jquery and Javascript;Database:MYSQL;BackEnd:PHP,Nodejs;Frameworks:Bootstrap, Laravel and Handlebarsjs","```python
skills = [""HTML"", ""CSS"", ""JQuery"", ""JavaScript"", ""MySQL"", ""PHP"", ""Node.js"", ""Bootstrap"", ""Laravel"", ""Handlebars.js""]
```","['html', 'css', 'jquery', 'javascript', 'mysql', 'php', 'node.js', 'bootstrap', 'laravel', 'handlebars.js']",2.8yrs,2.8
40,"Java Script,Node.js,React.js,Express.js,MongoDB,Postgresql,Redux-ToolkitGit & GitHubRest ,APIs,Nginx,HTML5,CSS3,Bootstrap 5,Figma,Photoshop","```python
skills = [
    ""JavaScript"",
    ""Node.js"",
    ""React.js"",
    ""Express.js"",
    ""MongoDB"",
    ""PostgreSQL"",
    ""Redux Toolkit"",
    ""Git & GitHub"",
    ""REST APIs"",
    ""Nginx"",
    ""HTML5"",
    ""CSS3"",
    ""Bootstrap 5"",
    ""Figma"",
    ""Photoshop"",
]
```","['javascript', 'node.js', 'react.js', 'express.js', 'mongodb', 'postgresql', 'redux toolkit', 'git', 'github', 'rest apis', 'nginx', 'html5', 'css3', 'bootstrap 5', 'figma', 'photoshop']","Fresher,Intern 10 months",0.1
41,"React,Redux,Java script,Node js,HTML,CSS,Mongo DB,","```python
skills = [""React"", ""Redux"", ""JavaScript"", ""Node.js"", ""HTML"", ""CSS"", ""MongoDB""]
```","['react', 'redux', 'javascript', 'node.js', 'html', 'css', 'mongodb']","Intern 7 months,Currently Working",0.5833333333333334
42,"MS office ( MS-Word, MS-Excel & MS-Power Point )• Full Stack Web Developer (MERN)","```python
skills = [""MS office (MS-Word, MS-Excel & MS-Power Point)"", ""Full Stack Web Developer (MERN)""]
```","['ms office (ms-word', 'ms-excel', 'ms-power point)', 'full stack web developer (mern)']",,0
43,"HTML , CSS , SASS,Javascript,React JS,Node Js,MongoDB,MYSQL,PHP,AutoCAD","```python
skills = [
    ""HTML"",
    ""CSS"",
    ""SASS"",
    ""JavaScript"",
    ""React JS"",
    ""Node JS"",
    ""MongoDB"",
    ""MySQL"",
    ""PHP"",
    ""AutoCAD"",
]
```","['html', 'css', 'sass', 'javascript', 'react js', 'node js', 'mongodb', 'mysql', 'php', 'autocad']","Fresher,Intern-3 Months",0.16666666666666666
44,"JavaScript,Node.js,Express.js,REST API development,Mongodb,React JS,GIT,Basic knowledge in HTML and CSS,Proficient in GIT version Control","```python
skills = [
    ""JavaScript"",
    ""Node.js"",
    ""Express.js"",
    ""REST API development"",
    ""MongoDB"",
    ""React JS"",
    ""GIT"",
    ""HTML"",
    ""CSS"",
    ""GIT version Control"",
]
```","['javascript', 'node.js', 'express.js', 'rest api development', 'mongodb', 'react js', 'git', 'html', 'css', 'git version control']","Fresher,intern-6 months",0.5
45,"HTML, CSS, Javascript, React and Node.js.,Git and GitHub,Bootstrap, Express and MongoDB.","```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""React"",
    ""Node.js"",
    ""Git"",
    ""GitHub"",
    ""Bootstrap"",
    ""Express"",
    ""MongoDB"",
]
```","['html', 'css', 'javascript', 'react', 'node.js', 'git', 'github', 'bootstrap', 'express', 'mongodb']",Fresher,0.0
46,"Languages: JavaScript, C Programming, HTML/CSS, C++Frameworks: React JS, Node JS, Tailwind CSS, Material-UI, Express JS, , Developer Tools: Git, AWS, Netlify, Render, VS Code, IntelliJ, Eclipse, Libraries: Axios, Redux, Redux-Toolkit, Socket io Databases: MongoDB","```python
skills = [
    ""JavaScript"",
    ""C Programming"",
    ""HTML/CSS"",
    ""C++"",
    ""React JS"",
    ""Node JS"",
    ""Tailwind CSS"",
    ""Material-UI"",
    ""Express JS"",
    ""Git"",
    ""AWS"",
    ""Netlify"",
    ""Render"",
    ""VS Code"",
    ""IntelliJ"",
    ""Eclipse"",
    ""Axios"",
    ""Redux"",
    ""Redux-Toolkit"",
    ""Socket io"",
    ""MongoDB"",
]
```","['javascript', 'c programming', 'html/css', 'c++', 'react js', 'node js', 'tailwind css', 'material-ui', 'express js', 'git', 'aws', 'netlify', 'render', 'vs code', 'intellij', 'eclipse', 'axios', 'redux', 'redux-toolkit', 'socket io', 'mongodb']",Fresher,0.0
47,Node JS • My SQL• Adonis JS • GitHub• JavaScript • Angular JS(Basic)• MongoDB,"```python
skills = [
    ""Node JS"",
    ""MySQL"",
    ""Adonis JS"",
    ""GitHub"",
    ""JavaScript"",
    ""Angular JS (Basic)"",
    ""MongoDB"",
]
```","['node js', 'mysql', 'adonis js', 'github', 'javascript', 'angular js (basic)', 'mongodb']",,0
48,"Responsive UI, Design, HTML, CSS, Javascript , React.js,Node.js , Express.js, MongoDB , Mongoose, Bootstrap, Linux","```python
skills = [
    ""responsive ui"",
    ""design"",
    ""html"",
    ""css"",
    ""javascript"",
    ""react.js"",
    ""node.js"",
    ""express.js"",
    ""mongodb"",
    ""mongoose"",
    ""bootstrap"",
    ""linux"",
]
```","['responsive ui', 'design', 'html', 'css', 'javascript', 'react.js', 'node.js', 'express.js', 'mongodb', 'mongoose', 'bootstrap', 'linux']",,0
49,"Java Script,Node Js,Express Js,Mongo DB,HTML,CSS,Boot strap,Tail Wind, CSS,AWS,Nginx","```python
skills = [
    ""JavaScript"",
    ""Node.js"",
    ""Express.js"",
    ""MongoDB"",
    ""HTML"",
    ""CSS"",
    ""Bootstrap"",
    ""Tailwind CSS"",
    ""AWS"",
    ""Nginx"",
]
```","['javascript', 'node.js', 'express.js', 'mongodb', 'html', 'css', 'bootstrap', 'tailwind css', 'aws', 'nginx']",1 yr,1.0
50,"Next.js,Hositinger,MySQL,MongoDB,Bootstrap,Tailwind, CSS,React hooks,ReactJS,Node.js","```python
skills = [
    ""Next.js"",
    ""Hosting"",
    ""MySQL"",
    ""MongoDB"",
    ""Bootstrap"",
    ""Tailwind CSS"",
    ""CSS"",
    ""React Hooks"",
    ""ReactJS"",
    ""Node.js"",
]
```","['next.js', 'hosting', 'mysql', 'mongodb', 'bootstrap', 'tailwind css', 'css', 'react hooks', 'reactjs', 'node.js']",3yrs,3.0
51,HTML & CSS | Javascript | React | ReduxNode Js | Express Js | Mongodb | MysqlReactstrap | Data Structures And Algorithms Git |,"```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""React"",
    ""Redux"",
    ""Node.js"",
    ""Express.js"",
    ""MongoDB"",
    ""MySQL"",
    ""Reactstrap"",
    ""Data Structures and Algorithms"",
    ""Git"",
]
```","['html', 'css', 'javascript', 'react', 'redux', 'node.js', 'express.js', 'mongodb', 'mysql', 'reactstrap', 'data structures and algorithms', 'git']",1.5yrs,1.5
52,1.java script 2.HTML 3.HTML&CSS4.DOM 5.Async programming 6.React7.Database 8.Mango DB 9.Node js,"```python
skills = [
    ""javascript"",
    ""html"",
    ""html&css"",
    ""dom"",
    ""async programming"",
    ""react"",
    ""database"",
    ""mango db"",
    ""node js"",
]
```","['javascript', 'html', 'html', 'css', 'dom', 'async programming', 'react', 'database', 'mango db', 'node js']",2yrs on IT Field,2.0
53,"React js(front end),Node JS,CSS,Html,MySQL,Python,JavaScript,TypeScript","```python
['react js', 'node js', 'css', 'html', 'mysql', 'python', 'javascript', 'typescript']
```","['react js', 'node js', 'css', 'html', 'mysql', 'python', 'javascript', 'typescript']",1.5 yrs,1.5
54,"HTML5, CSS,Tailwind CSS,Bootstrap,MongoDB,AJAX,JavaScript,GitHub,React,Redux,Node.js,SQL,Express.js","```python
skills = [
    ""HTML5"",
    ""CSS"",
    ""Tailwind CSS"",
    ""Bootstrap"",
    ""MongoDB"",
    ""AJAX"",
    ""JavaScript"",
    ""GitHub"",
    ""React"",
    ""Redux"",
    ""Node.js"",
    ""SQL"",
    ""Express.js"",
]
```","['html5', 'css', 'tailwind css', 'bootstrap', 'mongodb', 'ajax', 'javascript', 'github', 'react', 'redux', 'node.js', 'sql', 'express.js']",1 yr as trainee,1.0
55,"Web Technologies: JavaScript, ES6, HTML5,CSS3, ReactJS, NodeJS, KoaJS, JSONDatabase: SQL ServerVersion Control Tools: GitHubMethodologies: Agile (Tool: JIRA)Repository: Bitbucket,C# Dotnet (Basics),PL/SQL(Basics),SharePoint,Embedded C,Verilog HDL","```python
skills = [
    ""JavaScript"",
    ""ES6"",
    ""HTML5"",
    ""CSS3"",
    ""ReactJS"",
    ""NodeJS"",
    ""KoaJS"",
    ""JSON"",
    ""SQL"",
    ""GitHub"",
    ""Agile (JIRA)"",
    ""Bitbucket"",
    ""C# Dotnet (Basics)"",
    ""PL/SQL (Basics)"",
    ""SharePoint"",
    ""Embedded C"",
    ""Verilog HDL"",
]
```","['javascript', 'es6', 'html5', 'css3', 'reactjs', 'nodejs', 'koajs', 'json', 'sql', 'github', 'agile (jira)', 'bitbucket', 'c# dotnet (basics)', 'pl/sql (basics)', 'sharepoint', 'embedded c', 'verilog hdl']",2 .5 yrs,2.5
56,"Front End and UI/UX Design Using HTML , CSS,Javascript and Bootstrap Using Framework Angular andTypescript","```python
skills = [""Front End Development"", ""UI/UX Design"", ""HTML"", ""CSS"", ""JavaScript"", ""Bootstrap"", ""Angular"", ""TypeScript""]
```","['front end development', 'ui/ux design', 'html', 'css', 'javascript', 'bootstrap', 'angular', 'typescript']",,0
57,"MySOL, MongoDB,PYTHON - DJANGO,PHP - LARAVEL,NODE JS AND REACT JS","```python
skills = [
    ""MySQL"",
    ""MongoDB"",
    ""Python - Django"",
    ""PHP - Laravel"",
    ""Node.js"",
    ""React.js"",
]
```","['mysql', 'mongodb', 'python - django', 'php - laravel', 'node.js', 'react.js']",,0
58,"HTML5 CSS3 BOOTSTRAP Tailwind CssJavascript (*es6,es7,es8,es9,es10,es11,es12)React.js(Redux,Routerdom,React Hooks,antd,Third partylibraries integration)*Nodejs Express js Mongodb Mysql GitupGitlab Postman(for api testing) Next js(basic)React native (basic)","```python
skills = [
    ""HTML5"",
    ""CSS3"",
    ""BOOTSTRAP"",
    ""Tailwind Css"",
    ""Javascript (*es6,es7,es8,es9,es10,es11,es12)"",
    ""React.js(Redux,Routerdom,React Hooks,antd,Third partylibraries integration)"",
    ""Nodejs"",
    ""Express js"",
    ""Mongodb"",
    ""Mysql"",
    ""Gitup"",
    ""Gitlab"",
    ""Postman(for api testing)"",
    ""Next js(basic)"",
    ""React native(basic)""
]
```","['html5', 'css3', 'bootstrap', 'tailwind css', 'javascript (*es6', 'es7', 'es8', 'es9', 'es10', 'es11', 'es12)', 'react.js(redux', 'routerdom', 'react hooks', 'antd', 'third partylibraries integration)', 'nodejs', 'express js', 'mongodb', 'mysql', 'gitup', 'gitlab', 'postman(for api testing)', 'next js(basic)', 'react native(basic)']",,0
59,"HTML,CSS,Java Script,React, and Node Js,BootStrap,Express,Mongo DB,Git,GitHub","```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""React"",
    ""Node.js"",
    ""Bootstrap"",
    ""Express"",
    ""MongoDB"",
    ""Git"",
    ""GitHub"",
]
```","['html', 'css', 'javascript', 'react', 'node.js', 'bootstrap', 'express', 'mongodb', 'git', 'github']",,0
60,"Mysq,MongoDB,,React Js,Express JS,Node JS.","```python
['MySQL', 'MongoDB', 'React.js', 'Express.js', 'Node.js']
```","['mysql', 'mongodb', 'react.js', 'express.js', 'node.js']",1.5 yrs,1.5
61,"NodeJs, Typescript, ExpressJs, MongoDB, PostgreSQL andMySQL","```python
skills = [""Node.js"", ""TypeScript"", ""Express.js"", ""MongoDB"", ""PostgreSQL"", ""MySQL""]
```","['node.js', 'typescript', 'express.js', 'mongodb', 'postgresql', 'mysql']",,0
62,• Java (1 year)• Spring Boot (1 year)• Python (1 year)• Flask (Less than 1 year)• APIs (1 year)• OOP (1 year)• Back-end development (1 year)• MySQL• NoSQL (1 year),"```python
skills = [
    ""Java"",
    ""Spring Boot"",
    ""Python"",
    ""Flask"",
    ""APIs"",
    ""OOP"",
    ""Back-end development"",
    ""MySQL"",
    ""NoSQL"",
]
```","['java', 'spring boot', 'python', 'flask', 'apis', 'oop', 'back-end development', 'mysql', 'nosql']",Fresher,0.0
63,1. HTML2. CSS3. JAVASCRIPT4. SCSS5. TYPESCRIPT6. REACT JS7. REDUX(TOOLKIT)8. EXPRESS JS9. MONGODB10. MONGOOSE,"```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""SCSS"",
    ""TypeScript"",
    ""React JS"",
    ""Redux"",
    ""Express JS"",
    ""MongoDB"",
    ""Mongoose"",
]
```","['html', 'css', 'javascript', 'scss', 'typescript', 'react js', 'redux', 'express js', 'mongodb', 'mongoose']",1 yr,1.0
64,"Node.Js, React.Js, JavaScript, HTML,CSS,Framework:Express.Js, Database: MySQL,MongoDB 
, Platforms: Ubuntu, Microsoft Windows,Linux Version Control: Git,Bitbucket,Tools Used: Sublime, Notepad++","```python
skills = [
    ""Node.js"",
    ""React.js"",
    ""JavaScript"",
    ""HTML"",
    ""CSS"",
    ""Express.js"",
    ""MySQL"",
    ""MongoDB"",
    ""Ubuntu"",
    ""Microsoft Windows"",
    ""Linux"",
    ""Git"",
    ""Bitbucket"",
    ""Sublime"",
    ""Notepad++"",
]
```","['node.js', 'react.js', 'javascript', 'html', 'css', 'express.js', 'mysql', 'mongodb', 'ubuntu', 'microsoft windows', 'linux', 'git', 'bitbucket', 'sublime', 'notepad++']",3.4years(2years MERN),3.4
65,"MERN Stack Development: MongoDB | Express.js | React.js | Node.js, Programming Languages: JavaScript 
| Frontend Development: React JS | HTML5 | CSS3 | Bootstrap | Redux | ES6 | JSX | React 
Router | Responsive web development | Virtual DOM Backend Development: Node.js | Express.js | API design | Databases: MySQL | MongoDB | Version Control & Collaboration: Git | GitHub | Bitbucket | Web Design & Development:Web Development | REST API | JSON | HTTP | Code Quality: ESLint | Prettie","```python
skills = [
    ""MERN Stack Development"",
    ""JavaScript"",
    ""Frontend Development"",
    ""React JS"",
    ""HTML5"",
    ""CSS3"",
    ""Bootstrap"",
    ""Redux"",
    ""ES6"",
    ""JSX"",
    ""React Router"",
    ""Responsive web development"",
    ""Virtual DOM"",
    ""Backend Development"",
    ""Node.js"",
    ""Express.js"",
    ""API design"",
    ""Databases"",
    ""MySQL"",
    ""MongoDB"",
    ""Version Control & Collaboration"",
    ""Git"",
    ""GitHub"",
    ""Bitbucket"",
    ""Web Design & Development"",
    ""REST API"",
    ""JSON"",
    ""HTTP"",
    ""Code Quality"",
    ""ESLint"",
    ""Prettier"",
]
```","['mern stack development', 'javascript', 'frontend development', 'react js', 'html5', 'css3', 'bootstrap', 'redux', 'es6', 'jsx', 'react router', 'responsive web development', 'virtual dom', 'backend development', 'node.js', 'express.js', 'api design', 'databases', 'mysql', 'mongodb', 'version control', 'collaboration', 'git', 'github', 'bitbucket', 'web design', 'development', 'rest api', 'json', 'http', 'code quality', 'eslint', 'prettier']",2years,2.0
66,"HTML 5, CSS 3, JavaScript, TypeScript, Node Js, Vue Js. Bootstrap, Express JS, ReactJS , React storybook, JIRA, Balsamiq, Figma,Git/Gerrit, Github,Git/Gerrit, Github,MongoDB,Wordpress","```python
skills = [
    ""HTML 5"",
    ""CSS 3"",
    ""JavaScript"",
    ""TypeScript"",
    ""Node.js"",
    ""Vue.js"",
    ""Bootstrap"",
    ""Express.js"",
    ""React.js"",
    ""React Storybook"",
    ""JIRA"",
    ""Balsamiq"",
    ""Figma"",
    ""Git/Gerrit"",
    ""GitHub"",
    ""MongoDB"",
    ""WordPress"",
]
```","['html 5', 'css 3', 'javascript', 'typescript', 'node.js', 'vue.js', 'bootstrap', 'express.js', 'react.js', 'react storybook', 'jira', 'balsamiq', 'figma', 'git/gerrit', 'github', 'mongodb', 'wordpress']",1.9years,1.9
67,"HTML&CSS, JAVASCRIPT, REACT.JS, EXPRESS.JS, NODE.JS","```python
skills = [""HTML"", ""CSS"", ""JavaScript"", ""React.js"", ""Express.js"", ""Node.js""]
```","['html', 'css', 'javascript', 'react.js', 'express.js', 'node.js']",2.5 years,2.5
